"MoveNumber","Side","Move","FEN","GameNumber"
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",359
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",360
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",361
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",362
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",363
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",364
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",365
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",366
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",367
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",368
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",369
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",370
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",371
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",372
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",373
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",374
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",375
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",376
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",377
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",378
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",379
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",380
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",381
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",382
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",383
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",384
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",385
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",386
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",387
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",388
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",389
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",390
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",391
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",392
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",393
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",394
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",395
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",396
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",397
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",398
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",399
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",400
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",401
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",402
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",403
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",404
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",405
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",406
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",407
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",408
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",409
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",410
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",411
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",412
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",413
